job_title,company,location,job_description
Data Scientist,Dhurin,,"About the job About the Company Dhurin is a fast-growing data science firm serving financial services industry. We work with banks, NBFCs, fintech and other financial institutions. Our work is in the space of risk, fraud, collections, marketing, sales, and operations through it we directly influence how financial institutions make smarter decisions. Dhurin is the place for someone who is passionate about data and wants to grow with a well-positioned firm. Role Overview We are looking for Data Scientists (AI/ML Developers) across levels to join our Mumbai team. The role focuses on credit and fraud risk analytics within the retail banking space. You will design, develop, and implement ML models that drive smarter decision-making for financial institutions. Responsibilities & Requirements 2 to 10 years of AI/ML/ Data Science experience with exposure to Credit or Fraud risk in Retail banking/financial services Skills: Python and SQL Strong track record of building and deploying ML/statistical models and ability to interact with clients and translate business problems into AI/ML frameworks Experience in BFSI domain Location: Mumbai Why Join Us? Growth via the depth and breadth of data science projects for leading banks and fintech Opportunity to engage first-hand with clients and build strong industry relationships Collaborative work environment and mentorship from experienced colleagues Opportunity to drive real change through your work in a fast-growing niche consulting firm Earn certifications in these skills Learn SAS Programming Learn SQL for Data Analytics Learn Power BI Learn Clinical Trial Analysis & Reporting Learn Business Analytics Learn Natural Language Processing Learn Machine Learning Learn AI in Data Science Learn Data Science Learn Python Learn Artificial intelligence + 4 more skills Who can apply Only those candidates can apply who: 1. have minimum 2 years of experience Salary Probation: Duration: Salary during probation: After probation: Annual CTC: Competitive salary Number of openings 1 Editor’s note Information above is Internshala's interpretation and paraphrasing of what we found on the shared link. Apply now Additional Questions × Close Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login"
Data Scientist,GrowExx,,"About the job About the Company Growexx is looking for smart and passionate Data Scientist who will empower Marketing, Product, Sales teams to make strategic, data-driven decisions. Responsibilities Mine, process, and analyze web, product, sales, and digital marketing data at an event level. Utilize traditional machine learning techniques and language models (LLMs) to build great AI agents for different business needs. Assist in developing and optimizing LLM-driven solutions for tasks such as text summarization and basic customer support automation. Contribute to building and deploying predictive models and machine learning algorithms across customer profile and usage datasets. Support the deployment of machine learning models into production environments. Assist in designing and implementing basic model activation strategies and participating in A/B testing plans. Conduct evaluations of LLMs, focusing on basic performance metrics like accuracy and latency. Integrate LLM agents with APIs and assist in maintaining data models and improving taxonomy. Qualifications B Tech or B. E. (Computer Science / Information Technology) 1+ years as a Data Scientist or similar roles. Required Skills Hands on experience with LLM models and basic knowledge of evaluation metrics for LLMs. Knowledge of designing and deploying agentic systems. Knowledge bases, retrieval systems (RAG architecture), and orchestrating dynamic multi-agent workflows. Exposure to machine learning techniques including supervised and unsupervised learning. Proficiency in Python, SciKit, SQL, Jupyter Notebooks and understanding of cloud platforms for data science tasks. Basic understanding of data mining and statistical analysis techniques. Continuous learner, keeping up-to-date with the latest advances in transformers, generative AI models, retrieval-augmented generation (RAG), and agentic AI frameworks. Soft Skills Must have good logical reasoning and analytical skills. Good Communication skills in English  both written and verbal. Demonstrate Ownership and Accountability of their work. Attention to details. Earn certifications in these skills Learn Machine Learning Learn Natural Language Processing Learn AI in Data Science Learn Data Science Learn SAS Programming Learn SQL for Data Analytics Learn Power BI Learn Clinical Trial Analysis & Reporting Learn Python Learn Artificial intelligence + 3 more skills Who can apply Only those candidates can apply who: 1. have minimum 1 years of experience Salary Probation: Duration: Salary during probation: After probation: Annual CTC: Competitive salary Number of openings 1 Editor’s note Information above is Internshala's interpretation and paraphrasing of what we found on the shared link. Apply now Additional Questions × Close Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login"
Data Scientist,Namshi.com,,"About the job Title: Data Scientist Location: Gurugram, India About the Role We are looking for a highly skilled Data Scientist to join our growth analytics team and enhance product discoverability and shopability through advanced machine learning and AI techniques. Your primary focus will be on improving our sorting algorithms across both search and non-search routes, leveraging NLP to extract insights from product text details, and integrating image processing & classification models. Additionally, you will work with LLMs, BQML API integration, and prompt engineering to enhance our recommendation and search capabilities. Key Responsibilities Develop and optimize sorting algorithms for product ranking across different user journeys (search & non-search-based routes). Implement NLP techniques to extract context and valuable insights from product titles, descriptions, and reviews to improve product discoverability. Apply image processing and classification techniques to enhance product categorization and improve search relevance. Work with Large Language Models (LLMs) to refine product search, recommendations, and customer interactions. Integrate BigQuery ML (BQML) API to develop, deploy, and monitor ML models at scale. Conduct prompt engineering to fine-tune LLM interactions for better user engagement and product search efficiency. Collaborate with engineers, product managers, and business stakeholders to align AI-driven solutions with business objectives. Continuously analyze and improve models based on user behavior data, A/B testing, and performance metrics. Research and implement state-of-the-art AI methodologies in e-commerce search and personalization. Qualifications & Skills Bachelors/Masters in Computer Science, Data Science, AI, or a related field. 2+ years of experience in data science, ML, or AI. Strong experience with search ranking algorithms, recommendation, or product discovery models. Expertise in NLP techniques, including text embeddings, topic modeling, and transformer-based architectures. Proficiency in image processing & classification, including CNNs, Vision Transformers, and multi-models. Hands-on experience with BigQuery ML (BQML) API for model training and deployment. Knowledge of prompt engineering and fine-tuning LLMs for optimizing search and recommendations. Strong programming skills in Python, SQL, and ML frameworks (TensorFlow, PyTorch, Scikit-learn, Hugging Face, etc.). Experience with Google Cloud Platform (GCP), BigQuery, and data pipeline orchestration. Familiarity with A/B testing and experimentation frameworks. Excellent problem-solving skills, analytical thinking, and the ability to work in a fast-paced environment. Tackle unique linguistic challenges in the MENA region, including handling mixed-script queries (Arabizi), transliteration, and multilingual semantic matching to reduce null-result rates. Preferred Qualifications Experience in e-commerce or retail analytics. Familiarity with vector search and semantic search technologies. Deep understanding of Information Retrieval (IR) concepts, including inverted indices, vector search, query expansion, and tokenization strategies. Understanding of multi-modal AI techniques (text + image + metadata fusion). Prior experience with LLM fine-tuning and retrieval-augmented generation (RAG). Why Join Us? Work on cutting-edge AI/ML applications in e-commerce. A dynamic and innovative work environment with cross-functional collaboration. Opportunities for career growth and upskilling in the latest AI trends. Competitive compensation and benefits package. If you are passionate about AI-driven e-commerce solutions and love solving complex data challenges, apply now and be a part of our growing AI & Data Science team! Earn certifications in these skills Learn VLSI Learn AI in Data Science Learn Cloud Computing Learn Embedded Systems Learn Machine Learning Learn Natural Language Processing Learn Data Science Learn SAS Programming Learn SQL for Data Analytics Learn Power BI Learn Clinical Trial Analysis & Reporting Learn Python Learn Git & Github Learn Artificial intelligence Learn Software development Learn Vibe Coding Learn Human Resources + 10 more skills Who can apply Only those candidates can apply who: 1. have minimum 2 years of experience Salary Probation: Duration: Salary during probation: After probation: Annual CTC: Competitive salary Number of openings 1 Editor’s note Information above is Internshala's interpretation and paraphrasing of what we found on the shared link. Apply now Additional Questions × Close Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login"
Data Scientist,Credgenics,,"About the job About Credgenics: Credgenics is Indias first of its kind NPA resolution platform backed by credible investors including Accel Partners and Titan Capital. We work with financial institutions, Banks, NBFCs & Digital lending firms to improve the efficiency of their collection using technology, automation intelligence and optimal legal routes to facilitate the resolution of stressed assets. With all major banks and NBFCs as our clients, our SaaS-based collections platform helps them efficiently improve their NPA, geographic reach and customer experience. We count most of India's lending majors as our clients such as ICICI Bank, Axis Bank, Bank of Baroda, etc and have been able to grow 100% MoM consistently even among the pandemic. Role: Were looking for a passionate Data Scientist to join our high-growth team. In this role, you will get the opportunity to help build the Data Science vertical for the Collections and Lending space. What you'll be doing: You will be responsible for working within a team of data scientists and data engineers solving the challenges within the debt lifecycle for Banks, NBFCs and FinTech companies operating in the lending space. You will provide portfolio insights to clients enabling them to reduce costs and improve their recovery efficiency. This opportunity will enable you to deepen your skills, build on your data science knowledge, and work within a global fintech community. Identify opportunities to apply the latest advancements in Machine Learning and Artificial Intelligence to build, test, and validate predictive models Create algorithms to extract information from large, multiparametric data sets Deploy your algorithms to production to identify actionable insights from large databases Compare results from various methodologies and recommend best techniques Develop and embed automated processes for predictive model validation, deployment, and implementation Architect ML pipelines and actively contribute high-quality, production-ready code (readable, well-tested, with well-designed APIs) Actively mentor Interns and Junior data scientists on good software practices What we need: An undergraduate degree in Engineering, Statistics, Data Science, Applied Mathematics, Computer Science or related quantitative field 2 - 3 years of experience in a similar role Intermediate to advanced Python skills. Experience with at least one Deep Learning framework such as PyTorch or TensorFlow/Keras Expert understanding of ML best practices Solid understanding of ML/DL methods and architectures and mastery of performance assessment Demonstrated ability to develop novel machine learning methods that go beyond putting together of existing code, and to apply problem-solving skills to complex issues Ability to work autonomously and collaboratively as part of a team to both teach and learn every day Continuously looking for opportunities to learn, build skills and share learning. Familiarity with cloud computing services (AWS, GCP, or Azure) Earn certifications in these skills Learn Machine Learning Learn Natural Language Processing Learn AI in Data Science Learn Data Science Learn SAS Programming Learn SQL for Data Analytics Learn Power BI Learn Clinical Trial Analysis & Reporting Learn Python Learn Artificial intelligence + 3 more skills Who can apply Only those candidates can apply who: 1. have minimum 2 years of experience Salary Probation: Duration: Salary during probation: After probation: Annual CTC: Competitive salary Number of openings 1 Editor’s note Information above is Internshala's interpretation and paraphrasing of what we found on the shared link. Apply now Additional Questions × Close Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login"
Data Scientist,"ARKRAY, Inc.",,"About the job Job title: Data Scientist (Full time) Report to: Data Science Manager in Pune Job Responsibilities Work with medical microscopic image, blood glucose, and miRNA datasets to solve challenging large-scale problems and build a state-of-the-art machine learning/deep learning architecture/pipelines. In charge of developing end-to-end pipeline for Generative AI, blood glucose monitoring, miRNA based cancer detection, multi-class classification of urine sediments, and urine sediment detection. Build a faster models or optimize the model to achieve high inference speed without degradation of detection or classification performance. Work on time series forecasting and sequential data modeling problems as observed in blood glucose monitoring Quick in grasping the problem or domain of the dataset, create hypotheses, quickly implement those can achieve high performance within a short time. Ready to work in any area (image, tabular data, or time-series data) Design and develop product - deployable, accelerated AI algorithms that meet real-time performance and resource-constrained deployment requirements. Communicate highly technical results and methods clearly, as well as coordinate with researchers in Japan who design and develop medical AI products. Register dataset samples/images in database Qualifications and Requirements Bachelor or above in either of Computer Science / IT, Data Science, or Major in Electrical/Electronics or Mechanical with minor in Data Science or Computer Science 1+ year experience in Python coding in Visual Studio or CursorAI 2+ years of professional work experience as data scientist 2+ years of professional work experience with ML/deep learning framework and libraries 2+ years of Professional experience with classical Image Processing, time series prediction Professional experience in training production ready machine learning/deep learning models Candidates should be able to quickly implement research papers from top conferences like NeurIPS, CVPR, ECCV etc. Prior experience in developing IP (patents) and publishing papers (icing on the cake) Preferred Skills PhD in either of Computer Science / IT, Data Science, or Major in Electrical/Electronics or Mechanical with minor in Data Science or Computer Science 1+ year experience in AWS S3 and EC2 compute instance usage Location Pune, India Earn certifications in these skills Learn VLSI Learn AI in Data Science Learn Cloud Computing Learn Embedded Systems Learn Machine Learning Learn Natural Language Processing Learn Data Science Learn SAS Programming Learn SQL for Data Analytics Learn Power BI Learn Clinical Trial Analysis & Reporting Learn Python Learn Git & Github Learn Artificial intelligence Learn Software development Learn Vibe Coding + 9 more skills Who can apply Only those candidates can apply who: 1. have minimum 2 years of experience Salary Probation: Duration: Salary during probation: After probation: Annual CTC: Competitive salary Number of openings 1 Editor’s note Information above is Internshala's interpretation and paraphrasing of what we found on the shared link. Apply now Additional Questions × Close Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login"
Data Scientist - Fresher,V4c.ai,,"About the job The Data Scientist supports the development and implementation of data models, focusing on Machine Learning, under the supervision of more experienced scientists, contributing to the teams innovative projects. Job Description: Assist in the development of Machine Learning models and algorithms, contributing to the design and implementation of data-driven solutions. Perform data preprocessing, cleaning, and analysis, preparing datasets for modeling and supporting higher-level data science initiatives. Learn from and contribute to projects involving Deep Learning and General AI, gaining hands-on experience under the guidance of senior data scientists. Engage in continuous professional development, enhancing skills in Python, Machine Learning, and related areas through training and practical experience. Collaborate with team members to ensure the effective implementation of data science solutions, participating in brainstorming sessions and project discussions. Support the documentation of methodologies and results, ensuring transparency and reproducibility of data science processes. Qualifications: Bachelor's degree in Computer Science, Statistics, Mathematics, or a related field, with a strong interest in Machine Learning, Deep Learning, and AI. Experience in a data science role, demonstrating practical experience and strong Python programming skills. Exposure to Business Intelligence (BI) & Data Engineering concepts and tools. Familiarity with data platforms such as Dataiku is a bonus. Skills: Solid understanding of Machine Learning principles and practical experience in Python programming. Familiarity with data science and machine learning libraries in Python (e.g., scikit-learn, pandas, NumPy). Eagerness to learn Deep Learning and General AI technologies, with a proactive approach to acquiring new knowledge and skills. Strong analytical and problem-solving abilities, capable of tackling data-related challenges and deriving meaningful insights. Basic industry domain knowledge, with a willingness to deepen expertise and apply data science principles to solve real-world problems. Effective communication skills, with the ability to work collaboratively in a team environment and contribute to discussions. v4c.ai is an equal opportunity employer. We value diversity and are committed to creating an inclusive environment for all employees, regardless of race, color, religion, gender, sexual orientation, national origin, age, disability, or veteran status. We believe in the power of diversity and strive to foster a culture where every team member feels valued and respected. We encourage applications from individuals of all backgrounds and experiences. If you are passionate about diversity and innovation and thrive in a collaborative environment, we invite you to apply and join our team. Earn certifications in these skills Learn VLSI Learn AI in Data Science Learn Cloud Computing Learn Embedded Systems Learn Machine Learning Learn Natural Language Processing Learn Data Science Learn SAS Programming Learn SQL for Data Analytics Learn Power BI Learn Clinical Trial Analysis & Reporting Learn Python Learn Git & Github Learn Artificial intelligence + 7 more skills Salary Probation: Duration: Salary during probation: After probation: Annual CTC: Competitive salary Number of openings 1 Editor’s note Information above is Internshala's interpretation and paraphrasing of what we found on the shared link. Apply now Additional Questions × Close Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login"
Data Scientist,Mindsprint,,"About the job We are seeking an experienced Senior Data Science Engineer with 2+ years' experience to join our innovative team. As a Machine Learning and Generative AI Specialist, you will play a critical role in developing and deploying advanced ML models and algorithms to drive data-driven decision-making processes. Here are the key responsibilities and desired skills: 1. Algorithm Development: o Design and implement machine learning algorithms for various applications, including natural language processing (NLP), recommendation systems, and predictive analytics. o Leverage your expertise in deep learning and generative AI to create innovative solutions. 2. Data Processing and Analysis: o Collect, preprocess, and analyze large-scale datasets. o Apply statistical techniques and feature engineering to extract meaningful insights from data. 3. Model Training and Evaluation: o Train and fine-tune ML models using Python and relevant libraries (e.g., TensorFlow, PyTorch). o Evaluate model performance using appropriate metrics and iterate to improve accuracy and efficiency. 4. Deployment and Monitoring: o Deploy ML models to production environments (e.g., cloud platforms such as Azure, AWS, or GCP). o Monitor model performance, troubleshoot issues, and ensure robustness and reliability. 5. Collaboration and Communication: o Collaborate with cross-functional teams, including data scientists, engineers, and product managers. o Communicate results and insights effectively to technical and non-technical stakeholders. Desired Skills: Machine Learning: Strong knowledge of ML algorithms, including supervised and unsupervised learning. Generative AI: Experience with generative models (e.g., GANs, VAEs) and their applications. Python: Proficiency in Python for data analysis, model development, and scripting. Cloud Platforms: Hands-on experience with Azure, AWS, or GCP for model deployment and scalability. Natural Language Processing (NLP) : Understanding of NLP techniques, sentiment analysis, and text generation. Earn certifications in these skills Learn Machine Learning Learn Natural Language Processing Learn AI in Data Science Learn Data Science Learn SAS Programming Learn SQL for Data Analytics Learn Power BI Learn Clinical Trial Analysis & Reporting Learn Python Learn Artificial intelligence Learn Human Resources + 4 more skills Who can apply Only those candidates can apply who: 1. have minimum 2 years of experience Salary Probation: Duration: Salary during probation: After probation: Annual CTC: Competitive salary Number of openings 1 Editor’s note Information above is Internshala's interpretation and paraphrasing of what we found on the shared link. Apply now Additional Questions × Close Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login"
Data Scientist,Digital Ipsum,,"About the job This is not about building models that sit on shelves. This is about designing the future of luxury marketing with AI and predictive insights. As a Data Scientist at Digital Ipsum, you won't just code   you'll craft foresight. You'll build the AI backbone that helps luxury brands forecast sales, reduce idle inventory, and design campaigns that close deals before competitors even know the opportunity exists. This role is perfect for someone who thrives at the frontier of innovation, who knows data is not history but destiny, and who wants their models to move crores, not just benchmarks. At Digital Ipsum, you'll never be just a coder. You'll be the architect of tomorrow's growth. Key responsibilities: 1. Build predictive models that forecast demand, sales, and buyer behavior in the luxury sector. 2. Develop AI-driven frameworks for campaign optimization, pipeline management, and client reporting. 3. Collaborate with data analysts, marketers, and developers to integrate machine learning into strategy. 4. Clean, structure, and refine datasets into fuel for insights that win. 5. Experiment with Python, TensorFlow, PyTorch, and SQL   pushing the boundaries of applied AI. 6. Automate workflows to save clients lakhs in wasted ad spend and hours in manual reporting. 7. Translate complex algorithms into insights that clients and teammates can act on. Why Join Us: 1. Compensation: Starting salary    20,000/month (base) + performance incentives tied to AI innovations that deliver client impact. 2. Be the AI architect behind campaigns that set new industry benchmarks. 3. Freedom to experiment with cutting-edge AI tools and frameworks. 4. Mentorship from leaders who see AI as a growth engine, not a gimmick. 5. Exposure to luxury client data, launches, and global industry practices. 6. Access to high-powered tools, innovation labs, and cross-functional collaboration. Why Digital Ipsum? Because at Digital Ipsum, AI isn't hype   it's heritage in the making. We're using data science to turn confusion into clarity, predictions into profits, and brands into benchmarks. Here, you're not just an employee   you're a futurist of legacies. We don't build models for reports   we build systems that move industries. We don't chase trends   we set standards. If you're ready to use AI not as a buzzword but as a weapon for growth, if you want your code to change balance sheets, and if you dream of shaping the future of luxury marketing, this is your mission. Join us at Digital Ipsum, and let's script tomorrow together. Skill(s) required Artificial intelligence Data Analytics Data Science Machine Learning Natural Language Processing (NLP) Predictive Analytics Python SQL Earn certifications in these skills Learn Artificial intelligence Learn Data Analytics Learn Data Science Learn Machine Learning Learn NLP Learn Python Learn SQL Who can apply Only those candidates can apply who: 1. have minimum 1 years of experience Other requirements 1. 1-2  years in data science, machine learning, or applied AI, ideally in marketing, e-commerce, or luxury industries. 2. Proficiency in Python, R, SQL, TensorFlow, PyTorch, or similar. 3. Strong background in predictive analytics, NLP, or computer vision. 4. Ability to connect algorithms to real-world business outcomes. 5. Curious to explore beyond the brief—always testing, always innovating. 6. Resilience—experiments may fail, but you pivot and push forward. 7. Passion for building AI systems that drive measurable impact, not just research papers. Salary Probation: Duration: Salary during probation: After probation: Annual CTC: ₹ 2,40,000 - 3,60,000 /year Number of openings 10 About Digital Ipsum Transforming an ordinary business into an extraordinary business is what we do with our innovative suite of digital marketing services. Digital Ipsum offers a wide range of services to our clients that multiply their businesses and build their strong brand identity digitally. Our services range from SEO, web development, and SMO to graphics design, video animation, and content writing. Digital Ipsum is more than just a digital marketing company, it's rather a collaborative space where our amazing team works in sync with the client to give them a personalized experience that matches their brand. Our team is made up of creative geniuses, tech wizards, and marketing gurus who work together to bring the vision of the brands to life. Day in and day out, you will not only work, but you will also learn and improve. Activity on Internshala Hiring since March 2021 1201 opportunities posted 421 candidates hired Apply now Additional Questions × Close Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login"
Data Scientist - Fresher,Lendinghelio,,"About the job Key Responsibilities: A. Data scraping & extraction: 1. Scrape publicly available contact data (names, phone numbers, emails, business addresses) from Japan and Germany. 2. Focus on business directories, professional networks (LinkedIn, XING), local chambers of commerce, and public records. 3. Extract data in bulk volumes while ensuring accuracy and completeness. B. Data cleaning & organization: 1. Clean and validate scraped data to remove duplicates, incorrect entries, and outdated information. 2. Organize data into structured formats (CSV, Excel, or Google Sheets) for easy integration into our CRM systems. C. Compliance & ethics: 1. Ensure all data collection complies with local data protection laws (GDPR for Germany, APPI for Japan). 2. Only extract data from publicly accessible sources. 3. Avoid scraping personal or sensitive information unless explicitly public (e.g., business contact details). D. Automation & efficiency: 1. Use web scraping tools, browser extensions, and custom scripts to automate data extraction. 2. Optimize scraping processes to increase speed and accuracy while minimizing manual work. E. Reporting & quality assurance: 1. Provide regular updates on progress and data quality. 2. Maintain documentation of sources and methodologies for transparency. F. Target industries (optional): 1. Focus on specific sectors (e.g., real estate, healthcare, retail, or finance) as assigned. Skill(s) required Database Management System (DBMS) Data Engineering Data Extraction Data Manipulation Data Preparation Data Science Lead Generation Python SQL Earn certifications in these skills Learn Data Science Learn Python Learn SQL Other requirements 1. Proven experience in web scraping, data mining, or lead generation. 2. Proficiency in data scraping tools (e.g., Octoparse, ParseHub, Scraper API, Apify, or custom Python scripts). 3. Familiarity with proxy services (e.g., Luminati, Smartproxy, Oxylabs). 4. Strong knowledge of Excel/Google Sheets for data cleaning and organization. 5. Ability to work independently and meet deadlines. 6. Fluency in English (knowledge of Japanese or German is a huge plus). Salary Probation: Duration: 1 month Salary during probation: ₹10,500 /month (only for freshers) After probation: Annual CTC: ₹ 2,00,000 /year Annual CTC breakup: 1. Fixed pay: ₹ 1,00,000 /year 2. Variable pay: ₹ 1,00,000 /year Perks 5 days a week Number of openings 20 About Lendinghelio Website Lendinghelio is a startup and a leading crypto marketing agency dedicated to crafting innovative marketing solutions that help brands connect with their audiences. We pride ourselves on our creative strategies and data-driven approach, and we're looking for a passionate SEO and Ad Marketing Specialist to join our dynamic team. Activity on Internshala Hiring since January 2025 3 opportunities posted Apply now Additional Questions × Close Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login"
Data Scientist - Fresher,DeepThought CultureTech Ventures Private Limited,,"About the job Key responsibilities: 1. Develop statistical intelligence for QA analysis of the voice notes of the business development team 2. Develop reporting and reviewing mechanisms for the improvement of each BD team member, based on the analytics 3. Develop the data infrastructure for reviews and org growth Skill(s) required Business Analysis Earn certifications in these skills Learn SAS Programming Learn SQL for Data Analytics Learn Power BI Learn Clinical Trial Analysis & Reporting Learn Business Analytics Learn Natural Language Processing Learn Data Science Learn Python Learn AI in Data Science + 2 more skills Salary Probation: Duration: 6 months Salary during probation: ₹10,000 /month (only for freshers) After probation: Annual CTC: ₹ 2,40,000 /year Number of openings 1 About DeepThought CultureTech Ventures Private Limited DeepThought (DT), a DeepTech product innovation company, dreams of transforming every school/college into an MIT/Harvard/IISER-style research institution by 2030. Our SD LMS (Socratic dialogue learning management system) is based on DT's thread-building technology. DT (SD LMS) helps product startups in grooming beginners for product-innovation roles. Some of our early clients are Kringle.ai (loyalty programs), Growpital (agri-tech), and IPx (fintech). In the long term, we'd like to serve schools, colleges, corporations, and institutions with a research and innovation culture. DT is funded by 5 school leaders, 3 parents, and 3 technologists including Mr. S.Vishwanathan (former CPO, NIIT Technologies), Mr. Anup Kalbalia (former lead, CodeChef), and Dr. Jyothi Reddy (Director of Education, The Shriram Universal School). Activity on Internshala Hiring since March 2020 1991 opportunities posted 478 candidates hired Apply now Additional Questions × Close Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login Sign up to continue Candidate sign up Sign up/ Login with Google Sign up with Email OR Email Password First Name Last Name Sign up By continuing as a candidate, you agree to our T&C . Already registered? Login"
